reference,nom,hexa,rgb_r,rgb_g,rgb_b,cmyk_c,cmyk_m,cmyk_y,cmyk_k,hsv_h,hsv_s,hsv_v
RAL 7046,Telegris 2,#82898F,130,137,143,9,4,0,44,0.58,0.09,0.56
RAL 7047,Telegris 4,#D0D0D0,208,208,208,0,0,0,18,0,0,0.82
RAL 7048,Gris Souris Nacré,#898176,137,129,118,0,6,14,46,0.1,0.14,0.54
RAL 8000,Marron Vert,#826C34,130,108,52,0,17,60,49,0.12,0.6,0.51
RAL 8001,Marron Ocre,#955F20,149,95,32,0,36,79,42,0.09,0.79,0.58
RAL 8002,Brun Securite,#6C3B2A,108,59,42,0,45,61,58,0.04,0.61,0.42
RAL 8003,Brun Argile,#734222,115,66,34,0,43,70,55,0.07,0.7,0.45
RAL 8004,Brun Cuivre,#8E402A,142,64,42,0,55,70,44,0.04,0.7,0.56
RAL 8007,Brun Fauve,#59351F,89,53,31,0,40,65,65,0.06,0.65,0.35
RAL 8008,Brun Olive,#6F4F28,111,79,40,0,29,64,56,0.09,0.64,0.44
RAL 8011,Brun Noisette,#5B3A29,91,58,41,0,36,55,64,0.06,0.55,0.36
RAL 8012,Brun Rouge,#592321,89,35,33,0,61,63,65,0.01,0.63,0.35
RAL 8014,Brun Sepia,#382C1E,56,44,30,0,21,46,78,0.09,0.46,0.22
RAL 8015,Marron Chataigne,#633A34,99,58,52,0,41,47,61,0.02,0.47,0.39
RAL 8016,Brun Acajou,#4C2F27,76,47,39,0,38,49,70,0.04,0.49,0.3
RAL 8017,Brun Chocolat,#45322E,69,50,46,0,28,33,73,0.03,0.33,0.27
RAL 8019,Brun Gris,#403A3A,64,58,58,0,9,9,75,0,0.09,0.25
RAL 8022,Brun Noir,#212121,33,33,33,0,0,0,87,0,0,0.13
RAL 8023,Brun Orange,#A65E2E,166,94,46,0,43,72,35,0.07,0.72,0.65
RAL 8024,Brun Beige,#79553D,121,85,61,0,30,50,53,0.07,0.5,0.47
RAL 8025,Brun Pâle,#755C48,117,92,72,0,21,38,54,0.07,0.38,0.46
RAL 8027,Marron Camouflage Otan,#544C42,84,76,66,0,10,21,67,0.09,0.21,0.33
RAL 8028,Marron Terre,#4E3B31,78,59,49,0,24,37,69,0.06,0.37,0.31
RAL 8029,Cuivre Nacre,#763C28,118,60,40,0,49,66,54,0.04,0.66,0.46
RAL 9001,Blanc Creme,#FDF4E3,253,244,227,0,4,10,1,0.11,0.1,0.99
